ACCOUNT 帐户
ACE 高手
ACT 法案
ACTION 行动
ACTOR 演员
ADDITION 加成
ADVERTISEMENT 广告
ADVICE 忠告
AFRICA 非洲
AFTERNOON 下午
AGE 年龄
AGENT 代理商
AGREEMENT 协议
AIR 空气
AIRPLANE 飞机
AIRPORT 飞机场
ALARM 报警
ALASKA 阿拉斯加州
ALIEN 外星人
ALLEY 胡同
ALPS 阿尔卑斯山
AMAZON 亚马逊
AMBULANCE 救护车
AMERICA 美国
AMUSEMENT 娱乐
ANCHOR 锚
ANGEL 天使
ANGER 愤怒
ANGLE 角度
ANIMAL 动物
ANT 蚂蚁
ANTARCTICA 南极洲
ANTHEM 国歌
APPARATUS 仪器
APPLE 苹果
APPLIANCE 器具
APPROVAL 批准
APRON 围裙
ARC 弧
ARCH 拱
ARGUMENT 论据
ARITHMETIC 算术
ARM 臂
ARMOR 盔甲
ARMY 军队
ART 艺术
ARTHUR 亚瑟
ASH 灰
ASTRONAUT 宇航员
ATLANTIS 亚特兰蒂斯
ATTACK 攻击
ATTENTION 注意
ATTIC 阁楼
ATTRACTION 景点
AUSTRALIA 澳大利亚
AUTHORITY 权威
AVALANCHE 雪崩
AXE 斧头
AZTEC 阿兹台克人
BABY 宝宝
BACK 背部
BACON 培根
BADGE 徽章
BAG 袋
BAIT 饵
BALANCE 平衡
BALL 球
BALLOON 气球
BANANA 香蕉
BAND 带
BANG 砰
BANK 银行
BAR 酒吧
BARBECUE 烧烤
BARK 吠
BASE 基础
BASKET 篮
BASS 低音
BAT 蝙蝠
BATH 浴
BATTERY 电池
BATTLE 战斗
BATTLESHIP 战役
BAY 湾
BEACH 海滩
BEAD 珠子
BEAM 光束
BEAN 豆角，扁豆
BEAR 熊
BEARD 胡子
BEAST 兽
BEAT 击败
BED 床
BEDROOM 卧室
BEE 蜜蜂
BEEF 牛肉
BEER 啤酒
BEGGAR 乞丐
BEGINNER 初学者
BEHAVIOR 行为
BEIJING 北京
BELIEF 信仰
BELL 钟
BELT 带
BEN 本
BENCH 本奇
BERLIN 柏林
BERMUDA 百慕大
BERRY 浆果
BICYCLE 自行车
BIG 大
BIKINI 比基尼
BILL 法案
BIRD 鸟
BIRTH 出生
BIRTHDAY 生日
BISCUIT 饼干
BIT 比特
BITE 咬
BLACKSMITH 铁匠
BLADE 刀
BLIND 盲
BLIZZARD 暴风雪
BLOCK 块
BLOOD 血液
BLOW 打击
BLUES 蓝色
BOARD 板
BOAT 船
BODY 身体
BOIL 熬
BOLT 螺栓
BOMB 炸弹
BOND 键
BONE 骨
BOOK 书
BOOM 繁荣
BOOT 开机
BORDER 边境
BOSS 老板
BOTTLE 瓶子
BOUNDARY 边界
BOW 弓
BOWL 碗
BOWLER 鲍勒
BOX 框
BOXER 拳击手
BRAIN 脑
BRAKE 制动
BRANCH 科
BRASS 黄铜
BRAZIL 巴西
BREAD 面包
BREAK 打破
BREAKFAST 早餐
BREATH 呼吸
BRICK 砖
BRIDE 新娘
BRIDGE 桥
BROTHER 哥哥
BRUSH 刷
BUBBLE 泡沫
BUCK 巴克
BUCKET 桶
BUFFALO 水牛
BUG 臭虫
BUGLE 号角
BUILDING 建造
BULB 灯泡
BULL 公牛
BUN 包子
BUNK 假寐
BURN 烧伤
BUSH 衬套
BUSINESS 商业
BUTTER 牛油
BUTTERFLY 蝴蝶
BUTTON 按键
CABBAGE 卷心菜
CABLE 电缆
CACTUS 仙人掌
CAESAR 凯撒
CAKE 蛋糕
CALCULATOR 计算器
CALENDAR 日历
CALF 小牛
CAMERA 相机
CAMP 营
CAN 能够
CANADA 加拿大
CANE 甘蔗
CANNON 大炮
CANVAS 帆布
CAP 帽
CAPITAL 首都
CAPTAIN 队长
CAPTION 标题
CAR 汽车
CARD 卡
CARE 关心
CARPENTER 木匠
CARRIAGE 运输
CARROT 胡萝卜
CART 大车
CASINO 赌场
CAST 投
CASTLE 城堡
CAT 猫
CATTLE 牛
CAVE 洞穴
CELERY 芹菜
CELL 细胞
CELLAR 地窖
CEMETERY 公墓
CENT CENT
CENTAUR 半人马座
CENTER 中央
CHAIN 链
CHAIR 椅子
CHALK 粉笔
CHANCE 机会
CHANGE 更改
CHANNEL 渠道
CHARGE 收费
CHECK 检查
CHEESE 起司
CHERRY 樱桃
CHESS 棋
CHEST 胸部
CHICK 小鸡
CHICKEN 鸡
CHILDREN 儿童
CHIN 下巴
CHINA 中国
CHIP 芯片
CHOCOLATE 巧克力
CHRISTMAS 圣诞
CHURCH 教会
CIRCLE 圈
CLAM 蛤
CLASS 类
CLEOPATRA 克里奥帕特拉
CLIFF 悬崖
CLOAK 披风
CLOCK 时钟
CLOTH 布
CLOUD 云
CLUB 俱乐部
COACH 教练
COAL 煤炭
COAST 海岸
COAT 涂层
COBWEB 蛛网
CODE 码
COFFEE 咖啡
COIL 线圈
COLD 冷
COLLAR 领
COLOR 颜色
COLUMBUS 哥伦布
COMB 梳
COMET 彗星
COMFORT 安慰
COMIC 漫画
COMMITTEE 委员会
COMPANY 公司
COMPETITION 竞争
COMPOUND 复合
COMPUTER 电脑
CONCERT 音乐会
CONDITION 健康）状况
CONDUCTOR 导体
CONE 锥体
CONNECTION 连接
CONTRACT 合同
CONTROL 控制
COOK 厨师
COPPER 铜
COPY 复制
CORD 编码
CORK 软木
CORN 玉米
COTTON 棉
COUGH 咳嗽
COUNTRY 国家
COURT 法庭
COVER 盖
COW 牛
COWBOY 牛仔
CRAB 螃蟹
CRACK 裂纹
CRACKER 饼干
CRAFT 工艺品
CRANE 起重机
CRASH 崩溃
CRATE 箱
CRAYON 蜡笔
CREAM 奶油
CREATOR 创作者
CREATURE 文化创意
CREDIT 信用
CRIB 中央银行
CRICKET 蟋蟀
CRIME 犯罪
CROOK 骗子
CROSS 交叉
CROW 乌鸦
CROWD 人群
CROWN 王冠
CRUSADER 十字军
CRUSH 粉碎
CRYSTAL 水晶
CUB 幼兽
CUCKOO 布谷鸟
CUP 杯子
CURRENT 当前
CURRY 咖喱
CURTAIN 窗帘
CURVE 曲线
CUSHION 坐垫
CYCLE 周期
DANCE 舞蹈
DASH 短跑
DATE 日期
DAY 天
DEATH 死亡
DEBT 债务
DECISION 决定
DECK 甲板
DEER 鹿
DEGREE 度
DELTA 三角洲
DENTIST 牙医
DESIGN 设计
DESIRE 欲望
DESK 台
DESTRUCTION 销毁
DETAIL 详情
DEVELOPMENT 发展历程
DIAMOND 钻石
DICE 骰子
DIGESTION 消化
DIME 十分钱
DINNER 晚餐
DINOSAUR 恐龙
DIRECTION 方向
DIRECTOR 导向器
DIRT 污垢
DISCOVERY 发现
DISCUSSION 讨论
DISEASE 疾病
DISGUST 厌恶
DISK 磁盘
DISTANCE 距离
DISTRIBUTION 分配
DIVER 潜水员
DIVISION 师
DOCK 码头
DOCTOR 医生
DOG 狗
DOLL 娃娃
DOLLAR 美元
DONKEY 驴
DOOR 门
DOWNTOWN 市中心
DRAFT 草案
DRAGON 龙
DRAIN 排水
DRAWER 抽屉
DRAWING 画画
DREAM 梦想
DRESS 连衣裙
DRESSING 敷料
DRILL 钻头
DRINK 喝
DRIVER 驱动器
DRIVING 驾驶
DRONE 无人机
DROP 下降
DRUG 药品
DRUM 鼓
DRYER 干燥机
DUCK 鸭
DUST 灰尘
DWARF 矮人
EAGLE 鹰
EAR 耳
EARTH 地球
EARTHQUAKE 地震
EASTER 复活节
EDEN 伊甸园
EDGE 边缘
EDUCATION 教育
EFFECT 影响
EGG 蛋
EGGNOG 蛋酒
EGYPT 埃及
EINSTEIN 爱因斯坦
ELBOW 弯头
ELEPHANT 象
EMBASSY 大使馆
END 结束
ENGINE 发动机
ENGLAND 英国
ERROR 错误
EUROPE 欧洲
EVENT 事件
EXAMPLE 例
EXCHANGE 交换
EXISTENCE 存在
EXPANSION 扩张
EXPERIENCE 经验
EXPERT 专家
EYE 眼
FACE 面对
FACT 事实
FAIR 公平
FAIRY 仙女
FALL 秋季
FAMILY 家庭
FAN 风扇
FANG ANG
FARM 农场
FARMER 农民
FATHER 父亲
FAUCET 龙头
FEAR 恐惧
FEAST 盛宴
FEATHER 羽毛
FEELING 感觉
FENCE 围栏
FEVER 发热
FICTION 小说
FIDDLE 小提琴
FIELD 领域
FIGHT 斗争
FIGHTER 战斗机
FIGURE 数字
FILE 文件
FILM 电影
FINGER 手指
FIRE 火
FIREMAN 消防队员
FISH 鱼
FLAG 旗
FLAME 火焰
FLAT 平面
FLAVOR 味道
FLESH 肉
FLIGHT 飞行
FLOCK 群
FLOOD 洪水
